doctor_id,department,day_of_week,time_of_day_minutes,patients_waiting,emergency_patients_waiting,doctor_workload,avg_consultation_time,actual_wait_time
7,General Medicine,3,750,10,4,20,7.53,92.65
8,Orthopedics,4,579,7,2,21,18.16,141.73
6,General Medicine,1,671,11,4,0,15.48,183.16
9,Orthopedics,0,954,10,1,27,22.44,234.27
7,General Medicine,3,984,2,0,18,6.95,31.24
2,Cardiology,3,795,13,1,25,23.8,320.65
4,General Medicine,3,846,11,3,28,9.26,116.96
1,Cardiology,3,867,1,1,5,20.65,23.66
2,Cardiology,1,641,9,3,13,23.19,235.7
7,General Medicine,3,775,4,4,17,12.68,77.56
9,Orthopedics,3,667,11,4,8,20.31,247.88
9,Orthopedics,6,1000,7,0,11,23.27,170.39
3,Cardiology,0,858,4,1,6,16.32,72.12
9,Orthopedics,3,512,15,4,2,18.85,307.71
3,Cardiology,0,941,2,0,4,17.99,37.8
7,General Medicine,2,872,14,1,9,5.24,75.87
7,General Medicine,0,575,3,1,4,6.93,19.19
4,General Medicine,4,639,6,2,18,11.0,79.69
6,General Medicine,3,507,11,3,19,15.19,187.52
10,Orthopedics,6,827,8,0,0,14.22,109.34
4,General Medicine,4,738,6,2,8,13.89,97.82
10,Orthopedics,3,853,15,0,19,15.52,236.3
4,General Medicine,3,989,6,1,2,7.85,54.91
1,Cardiology,2,592,1,1,27,19.62,31.8
2,Cardiology,4,895,6,3,22,23.45,168.52
6,General Medicine,4,677,5,2,30,13.02,77.21
3,Cardiology,3,882,9,2,30,16.3,158.79
4,General Medicine,0,817,7,0,10,8.43,60.07
7,General Medicine,6,777,2,2,27,5.0,23.76
1,Cardiology,5,932,4,2,22,17.53,81.06
3,Cardiology,3,631,5,0,23,16.31,89.44
3,Cardiology,5,952,2,0,28,13.03,28.38
2,Cardiology,5,642,15,4,8,22.34,363.43
8,Orthopedics,6,674,0,0,0,19.27,0.0
6,General Medicine,6,501,13,4,18,21.12,304.37
2,Cardiology,4,763,14,0,4,26.65,378.95
4,General Medicine,2,671,0,0,16,6.86,0.0
5,General Medicine,5,578,11,0,4,11.75,132.29
5,General Medicine,6,578,11,0,19,10.31,112.63
7,General Medicine,0,735,2,1,24,10.19,32.24
3,Cardiology,5,767,14,1,30,17.11,255.9
1,Cardiology,0,872,10,4,9,21.03,238.88
9,Orthopedics,4,985,6,0,3,23.14,150.86
3,Cardiology,6,622,11,1,1,18.78,210.38
3,Cardiology,0,669,12,1,25,14.06,181.16
5,General Medicine,0,743,4,3,11,11.9,67.09
6,General Medicine,4,829,14,2,22,14.79,218.81
3,Cardiology,3,537,6,1,4,18.56,115.71
1,Cardiology,1,992,14,1,29,20.37,306.79
