Schedule_ID,Doctor_ID,Day_Of_Week,Start_Time,End_Time,Slot_Duration_Minutes,Max_Patients
SCHED000001,DOC000001,Monday,09:00,17:00,15,32
SCHED000002,DOC000001,Tuesday,09:00,17:00,15,32
SCHED000003,DOC000001,Wednesday,09:00,17:00,15,32
SCHED000004,DOC000001,Thursday,09:00,17:00,15,32
SCHED000005,DOC000001,Friday,09:00,17:00,15,32
SCHED000006,DOC000002,Monday,09:00,17:00,15,32
SCHED000007,DOC000002,Tuesday,09:00,17:00,15,32
SCHED000008,DOC000002,Wednesday,09:00,17:00,15,32
SCHED000009,DOC000002,Thursday,09:00,17:00,15,32
SCHED000010,DOC000002,Friday,09:00,17:00,15,32
SCHED000011,DOC000003,Monday,09:00,17:00,15,32
SCHED000012,DOC000003,Tuesday,09:00,17:00,15,32
SCHED000013,DOC000003,Wednesday,09:00,17:00,15,32
SCHED000014,DOC000003,Thursday,09:00,17:00,15,32
SCHED000015,DOC000003,Friday,09:00,17:00,15,32
SCHED000016,DOC000004,Monday,09:00,17:00,15,32
SCHED000017,DOC000004,Tuesday,09:00,17:00,15,32
SCHED000018,DOC000004,Wednesday,09:00,17:00,15,32
SCHED000019,DOC000004,Thursday,09:00,17:00,15,32
SCHED000020,DOC000004,Friday,09:00,17:00,15,32
SCHED000021,DOC000005,Monday,09:00,17:00,15,32
SCHED000022,DOC000005,Tuesday,09:00,17:00,15,32
SCHED000023,DOC000005,Wednesday,09:00,17:00,15,32
SCHED000024,DOC000005,Thursday,09:00,17:00,15,32
SCHED000025,DOC000005,Friday,09:00,17:00,15,32
SCHED000026,DOC000006,Monday,09:00,17:00,15,32
SCHED000027,DOC000006,Tuesday,09:00,17:00,15,32
SCHED000028,DOC000006,Wednesday,09:00,17:00,15,32
SCHED000029,DOC000006,Thursday,09:00,17:00,15,32
SCHED000030,DOC000006,Friday,09:00,17:00,15,32
SCHED000031,DOC000007,Monday,09:00,17:00,15,32
SCHED000032,DOC000007,Tuesday,09:00,17:00,15,32
SCHED000033,DOC000007,Wednesday,09:00,17:00,15,32
SCHED000034,DOC000007,Thursday,09:00,17:00,15,32
SCHED000035,DOC000007,Friday,09:00,17:00,15,32
SCHED000036,DOC000008,Monday,09:00,17:00,15,32
SCHED000037,DOC000008,Tuesday,09:00,17:00,15,32
SCHED000038,DOC000008,Wednesday,09:00,17:00,15,32
SCHED000039,DOC000008,Thursday,09:00,17:00,15,32
SCHED000040,DOC000008,Friday,09:00,17:00,15,32
SCHED000041,DOC000009,Monday,09:00,17:00,15,32
SCHED000042,DOC000009,Tuesday,09:00,17:00,15,32
SCHED000043,DOC000009,Wednesday,09:00,17:00,15,32
SCHED000044,DOC000009,Thursday,09:00,17:00,15,32
SCHED000045,DOC000009,Friday,09:00,17:00,15,32
SCHED000046,DOC000010,Monday,09:00,17:00,15,32
SCHED000047,DOC000010,Tuesday,09:00,17:00,15,32
SCHED000048,DOC000010,Wednesday,09:00,17:00,15,32
SCHED000049,DOC000010,Thursday,09:00,17:00,15,32
SCHED000050,DOC000010,Friday,09:00,17:00,15,32
SCHED000051,DOC000011,Monday,09:00,17:00,15,32
SCHED000052,DOC000011,Tuesday,09:00,17:00,15,32
SCHED000053,DOC000011,Wednesday,09:00,17:00,15,32
SCHED000054,DOC000011,Thursday,09:00,17:00,15,32
SCHED000055,DOC000011,Friday,09:00,17:00,15,32
SCHED000056,DOC000012,Monday,09:00,17:00,15,32
SCHED000057,DOC000012,Tuesday,09:00,17:00,15,32
SCHED000058,DOC000012,Wednesday,09:00,17:00,15,32
SCHED000059,DOC000012,Thursday,09:00,17:00,15,32
SCHED000060,DOC000012,Friday,09:00,17:00,15,32
SCHED000061,DOC000013,Monday,09:00,17:00,15,32
