Room_ID,Hospital_ID,Room_Number,Room_Type,Status,Capacity
RM000001,HOSP000001,301,Emergency Room,Occupied,4
RM000002,HOSP000001,102,General Ward,Maintenance,2
RM000003,HOSP000001,103,General Ward,Maintenance,2
RM000004,HOSP000001,404,Consultation Room,Occupied,1
RM000005,HOSP000001,105,Emergency Room,Occupied,4
RM000006,HOSP000001,106,Emergency Room,Maintenance,6
RM000007,HOSP000001,107,ICU,Occupied,1
RM000008,HOSP000001,108,General Ward,Available,2
RM000009,HOSP000001,209,Emergency Room,Available,6
RM000010,HOSP000001,310,Operation Theater,Maintenance,1
RM000011,HOSP000001,411,Emergency Room,Maintenance,6
RM000012,HOSP000001,312,General Ward,Available,6
RM000013,HOSP000001,113,Emergency Room,Occupied,6
RM000014,HOSP000001,414,General Ward,Available,4
RM000015,HOSP000001,515,Emergency Room,Maintenance,6
RM000016,HOSP000001,116,Consultation Room,Available,1
RM000017,HOSP000001,417,Emergency Room,Available,6
RM000018,HOSP000001,518,General Ward,Maintenance,2
RM000019,HOSP000001,219,Consultation Room,Available,1
RM000020,HOSP000001,520,Consultation Room,Occupied,1
RM000021,HOSP000002,301,Emergency Room,Maintenance,2
RM000022,HOSP000002,402,Emergency Room,Occupied,6
RM000023,HOSP000002,503,General Ward,Available,6
RM000024,HOSP000002,404,Consultation Room,Occupied,1
RM000025,HOSP000002,405,ICU,Maintenance,1
RM000026,HOSP000002,306,Emergency Room,Available,2
RM000027,HOSP000002,507,Consultation Room,Occupied,1
RM000028,HOSP000002,508,Consultation Room,Occupied,1
RM000029,HOSP000002,209,Emergency Room,Available,2
RM000030,HOSP000002,510,General Ward,Available,4
RM000031,HOSP000002,511,General Ward,Occupied,6
RM000032,HOSP000002,112,Operation Theater,Maintenance,1
RM000033,HOSP000002,313,Consultation Room,Occupied,1
RM000034,HOSP000002,414,Emergency Room,Occupied,6
RM000035,HOSP000002,215,General Ward,Occupied,2
RM000036,HOSP000002,216,Emergency Room,Available,4
RM000037,HOSP000002,217,ICU,Occupied,1
RM000038,HOSP000002,318,Emergency Room,Occupied,4
RM000039,HOSP000002,219,General Ward,Maintenance,2
RM000040,HOSP000002,120,General Ward,Available,2
RM000041,HOSP000003,301,Consultation Room,Occupied,1
RM000042,HOSP000003,302,Consultation Room,Available,1
RM000043,HOSP000003,103,ICU,Occupied,1
RM000044,HOSP000003,504,ICU,Occupied,1
RM000045,HOSP000003,505,Operation Theater,Maintenance,1
RM000046,HOSP000003,506,Consultation Room,Maintenance,1
RM000047,HOSP000003,207,Emergency Room,Maintenance,6
RM000048,HOSP000003,108,Operation Theater,Maintenance,1
RM000049,HOSP000003,209,ICU,Maintenance,1
RM000050,HOSP000003,210,Emergency Room,Available,4
RM000051,HOSP000003,511,General Ward,Available,2
RM000052,HOSP000003,312,Emergency Room,Maintenance,2
RM000053,HOSP000003,213,Consultation Room,Available,1
RM000054,HOSP000003,114,Consultation Room,Occupied,1
RM000055,HOSP000003,115,Emergency Room,Available,4
RM000056,HOSP000003,216,Operation Theater,Available,1
RM000057,HOSP000003,217,Emergency Room,Maintenance,4
RM000058,HOSP000003,518,Operation Theater,Available,1
RM000059,HOSP000003,219,General Ward,Occupied,6
RM000060,HOSP000003,520,General Ward,Available,4
RM000061,HOSP000004,301,Operation Theater,Available,1
